DiversityScore,SentimentScore,SocialCapitalScore,ReplyCount,RecencyScore,AuthorId,Domains,QuoteCount,RetweetCount,Tokens,Entities,EngagementScore,Urls,ContextScore,LikeCount,ImpressionCount,Id,CreatedAt,Hashtags,Mentions
0.9166666666666666,-0.09526947140693665,2898.855215360583,271,0.5596239587541866,759251,{'Notícias'},55,450,"{'muliebrity', 'connect', 'internal', 'obama', 'iconic', 'influential', 'hundred', 'celebrity', 'hypothecate', 'individual', 'gentlewoman'}",{'Do Mundo'},4717,{'https://t.co/o8ujq4mnrt'},0.08883689691029244,3941,0,1369343506939019269,2021-03-09T17:45:07.0000000+00:00,,
1,-0.19167080521583557,49465.915255567365,1156,0.5524744952677909,180463340,{'Entretenimento'},3324,13354,"{'dracarys', 'twelvemonth', 'endorsement', 'substantiate'}",{'Séries de TV'},76173,{'https://t.co/cmpm3xonue'},0.19771673684446195,58339,0,1151160990995746816,2019-07-16T16:05:42.0000000+00:00,"{'emmys', 'gameofthrones'}",
1,-0.17884203791618347,5391.017369792038,103,0.5585275396063395,1060978099146260480,{'Entretenimento'},42,617,"{'straightaway', 'every', 'completely', 'substantiate', 'along'}",{'Séries de TV'},9027,{'https://t.co/aceayr6vdx'},0.18488109155890947,8265,0,1343240225129168898,2020-12-27T17:00:00.0000000+00:00,{'themandalorian'},{'985916593065476096'}
0.8666666666666667,-0.13085106015205383,8663.967279386572,511,0.5573445706797516,1141417774201184257,{'Entretenimento'},196,1708,"{'mannpower', 'fortress', 'newfangled', 'improvement', 'shimmer', 'deuce', 'experience', 'twelve', 'consequence', 'unlock', 'yearbook', 'vociferation', 'along'}",{'Games'},13821,"{'https://t.co/vsgjkwzaxw', 'https://t.co/1pbcs8e3d1'}",0.21573867508897931,11406,0,1312476369830338561,2020-10-03T19:35:25.0000000+00:00,,
0.9090909090909091,-0.20193231105804443,852.3387174380292,287,0.559620816075679,759251,{'Notícias'},36,110,"{'muteness', 'castle', 'consultation', 'meghan', 'buckingham', 'seismal', 'consequence', 'substantiate', 'noneffervescent', 'provoke'}",{'Do Mundo'},1400,"{'https://t.co/bkhjphdvmk', 'https://t.co/bspaefqykm'}",0.15556977907572847,967,0,1369271796499947520,2021-03-09T13:00:10.0000000+00:00,,
1,-0.1716744601726532,1030.9062213976501,44,0.5562579853012715,2412917082,{'Entretenimento'},37,168,"{'uncertain', 'substantiate', 'non'}",{'Séries de TV'},1679,{'https://t.co/r0y136efrk'},0.2855815033388837,1430,0,1281615412459782145,2020-07-10T15:45:00.0000000+00:00,{'shoemmyfyc'},
1,-0.1674118936061859,1533.501202278386,28,0.5578049044838386,1288485038,{'Entretenimento'},50,158,"{'cocktail', 'surreptitious', 'glance', 'hither', 'weekend', 'handwriting', 'approximately', 'formula', 'functionary'}",{'Séries de TV'},2578,"{'https://t.co/hj8hfqau4y', 'https://t.co/yw1ongfk84'}",0.15665978709870473,2342,0,1324784149241147394,2020-11-06T18:42:09.0000000+00:00,{'peakyblinders'},
1,-0.2249409258365631,9644.275049843687,75,0.5583370308044142,1288485038,{'Entretenimento'},277,1494,"{'volt', 'viglasky', 'galvanize'}",{'Séries de TV'},15774,{'https://t.co/1xql5ywxfq'},0.19947583330395321,13928,0,1338474408743215106,2020-12-14T13:22:21.0000000+00:00,,
1,-0.2227567434310913,6004.460225244818,62,0.5568443016783988,1288485038,{'Entretenimento'},159,838,"{'hindquarters', 'along', 'perspective'}",{'Séries de TV'},9939,{'https://t.co/rffb6iwfpg'},0,8880,0,1298591876963078146,2020-08-26T12:03:24.0000000+00:00,{'peakyblinders'},
0.6470588235294118,-0.19076082110404968,183984.45230361135,4655,0.5534700056979411,180463340,{'Entretenimento'},25430,69054,"{'condal', 'supererogatory', 'ryan', 'sapochnik', 'substantiate', 'acclaim', 'prequel', 'miguel', 'showrunner', 'aside', 'testament'}",{'Séries de TV'},263351,{'https://t.co/9ttmzelgxm'},0.2642596361521476,164212,0,1189330936300756992,2019-10-29T23:59:26.0000000+00:00,"{'houseofthedragon', 'gameofthrones'}","{'2557037323', '15635604'}"
0.875,-0.12649893760681152,90.70381909881843,40,0.559621211239313,1367531,{'Notícias'},1,20,"{'Tuesday', 'biden', 'campaigner', 'confluent', 'substantiate', 'gupta', 'vanita'}",{'Do Mundo'},133,{'https://t.co/yeuggotdy7'},0.20573783072672908,72,0,1369281593693646851,2021-03-09T13:39:06.0000000+00:00,,
1,-0.13051310181617737,105.33295701016151,8,0.5596259300596713,5988062,{'Notícias'},4,40,"{'participation', 'non', 'towboat', 'since', 'low', 'substantiate', 'endorsement', '1987', 'muliebrity'}",{'Do Mundo'},137,{'https://t.co/u1xa8k5fgq'},0.22029730948147608,85,0,1369388544003895298,2021-03-09T20:44:05.0000000+00:00,,
0.9,-0.191228449344635,183.05767574600506,22,0.5596199971269015,1367531,{'Notícias'},5,40,"{'newfangled', 'contribute', 'improving', 'mclaren', 'experience', 'bargain', '200g', 'stealer', 'preferably'}",{'Do Mundo'},276,{'https://t.co/xopedinp5z'},0.21067583431819414,209,0,1369253885932617735,2021-03-09T11:49:00.0000000+00:00,,
1,-0.2237928807735443,526.1457808602514,149,0.5596093539327034,1367531,{'Notícias'},20,136,"{'embattle', 'cuomo', 'participation', 'narrative', 'timeline', 'towboat', 'refulgence', 'regulator', 'cnn', 'endorsement'}",{'Do Mundo'},792,{'https://t.co/7keem043tv'},0.20190493117288003,487,0,1369010885075812352,2021-03-08T19:43:24.0000000+00:00,,
0.9090909090909091,-0.2275257408618927,67.2118563148972,6,0.5596318733573249,87818409,{'Notícias'},0,22,"{'straightaway', 'hither', 'twelvemonth', 'industriousness', 'pauperization', 'since', 'substantiate', 'anatolitis', 'endorsement', 'lockdown'}",{'Do Mundo'},86,{'https://t.co/6xahy3v1ty'},0.191023168234983,58,0,1369523963974549504,2021-03-10T05:42:12.0000000+00:00,,
1,-0.14693334698677063,54.951055450525665,31,0.5596300498379493,14173315,{'Notícias'},4,10,"{'nowadays', 'democrat', 'ketteler', 'substantiate', 'judi', 'exclusively', 'merely'}",{'Do Mundo'},79,{'https://t.co/vyfrqmryw1'},0.19172855434663127,34,0,1369483207935225856,2021-03-10T03:00:15.0000000+00:00,,{'905416143313219584'}
1,-0.20105692744255066,70.06941776821338,6,0.55962817025065,87818409,{'Notícias'},1,31,"{'unrecorded', 'stagecoach', 'destruction', 'without', 'coronavirus', 'overseas'}",{'Do Mundo'},86,{'https://t.co/5uhzeowxjd'},0.20708750863044367,48,0,1369439516679942144,2021-03-10T00:06:38.0000000+00:00,,
1,-0.1675083339214325,132.16677820015363,22,0.5596590996745001,28785486,{'Notícias'},10,33,"{'daylight', 'senator', 'approximately', 'substantiate', 'along'}",{'Do Mundo'},196,{'https://t.co/szmxgwm26d'},0.1558826683471759,131,0,1370144518100684802,2021-03-11T22:48:03.0000000+00:00,,
1,0.028411537408828735,138.33250283490057,18,0.5595915569055147,1367531,{'Notícias'},3,22,"{'identical', 'chakiris', 'favourable', 'marilyn', 'commemorate', 'natalie', 'workplace'}",{'Do Mundo'},216,{'https://t.co/wbge9onm0u'},0.2026263663705222,173,0,1368604102989541376,2021-03-07T16:47:00.0000000+00:00,,
1,-0.13428640365600586,59.40307127992188,0,0.5596290862246279,28785486,{'Notícias'},0,50,"{'biden', 'pres', 'substantiate', 'rt', 'endorsement'}",{'Do Mundo'},50,,0.14723790887245441,0,0,1369460811760988160,2021-03-10T01:31:15.0000000+00:00,,{'86141342'}
0.9090909090909091,-0.11577174067497253,1376.689711504115,39,0.5596231297026976,24742040,{'Entretenimento'},1,78,"{'instrumentalist', 'workplace', 'completely', 'bathroom', 'nowadays', 'unbelievable', 'approximately', 'bethesda', 'along', 'galvanize'}",{'Games'},2371,,0.12056829854535414,2253,0,1369325020258983936,2021-03-09T16:31:40.0000000+00:00,,{'532406707'}
0.9090909090909091,-0.10811951756477356,1142.4186097450954,55,0.5594486161521587,821102114,{'Entretenimento'},2,38,"{'congrats', 'via', 'certain', 'succeeder', 'completely', 'photograph', 'showcasing', 'substantiate', 'squeamish', 'inboxes'}",{'Games'},1993,,0.12274972944090115,1898,0,1365315820080009221,2021-02-26T15:00:32.0000000+00:00,,
0,0,1748.380643906859,42,0.5585860533280429,1060978099146260480,{'Entretenimento'},25,225,,{'Séries de TV'},2903,{'https://t.co/3mvniexa8f'},0,2611,0,1344689933978656771,2020-12-31T17:00:38.0000000+00:00,{'moffgideon'},
0.7272727272727273,-0.15502050518989563,95.62109285362546,8,0.5596253598795106,807095,{'Notícias'},4,39,"{'disadvantage', 'convalescence', 'economical', 'crisis', 'hindquarters', 'substantiate', 'already', 'fastened'}",{'Do Mundo'},121,"{'https://t.co/ofv3dwtbcb', 'https://t.co/8f34v70pnu'}",0.13892941459069896,70,0,1369375444793954323,2021-03-09T19:52:02.0000000+00:00,,
1,-0.2131175994873047,3994.2540167986576,43,0.5575432950211788,715177919438577664,{'Entretenimento'},420,1069,"{'multifariousness', 'testament'}",{'Séries de TV'},6091,{'https://t.co/o7tcxgluyv'},0,4559,0,1317842770816602114,2020-10-18T14:59:35.0000000+00:00,,
0,0,1653.0657753439968,27,0.5582772938390531,821102114,{'Entretenimento'},0,15,,{'Games'},2946,,0,2904,0,1336964656792035329,2020-12-10T09:23:08.0000000+00:00,,"{'36803580', '18334111', '121258930', '3065618342'}"
1,-0.17514875531196594,125.42897300488511,12,0.5596282688067585,807095,{'Notícias'},5,32,"{'various', 'redoubtable', 'ideologically', 'schumer', 'delicacy', 'confrontation', 'everything', 'advantageously', 'hypothecate', 'hurdle', 'caucus', 'differentiate', 'workplace'}",{'Do Mundo'},177,{'https://t.co/iyazlxtyfg'},0.12902815544632942,128,0,1369441796925886465,2021-03-10T00:15:42.0000000+00:00,,{'26756955'}
1,-0.14301243424415588,3542.9514134812634,32,0.5582711912513336,821102114,{'Entretenimento'},5,111,{'lt'},{'Games'},6232,{'https://t.co/rikywdnacx'},0.2789425453258252,6084,0,1336810117057179649,2020-12-09T23:09:03.0000000+00:00,,"{'110616795', '38232487', '1171755060'}"
1,-0.21845394372940063,56.63146594903869,6,0.5596264448553054,807095,{'Notícias'},2,16,"{'bathroom', 'sympathize', 'stimulation', 'become', 'approximately'}",{'Do Mundo'},78,{'https://t.co/kjuxbjhmfh'},0.19506231496435852,54,0,1369400194513723396,2021-03-09T21:30:23.0000000+00:00,,
0,0,23.503586138810686,2,0.5594491374125309,821102114,{'Entretenimento'},0,2,,{'Games'},40,,0,36,0,1365327872643260420,2021-02-26T15:48:26.0000000+00:00,,"{'1327811881143205888', '1236695563342659589', '3152101881'}"
1,-0.13245347142219543,13482.60945829298,1156,0.5594180339744235,821102114,{'Entretenimento'},53,563,"{'contribution', 'update', 'suggestion', 'non', 'endorsement', 'merely'}",{'Games'},23531,,0.12280526805730618,21759,0,1364607745270423556,2021-02-24T16:06:54.0000000+00:00,,
1,-0.15572118759155273,607.5398219455894,26,0.558281768973651,821102114,{'Entretenimento'},2,23,{'ya'},{'Games'},1062,{'https://t.co/lipziy1zhv'},0.21951095080860833,1011,0,1337077938076979205,2020-12-10T16:53:16.0000000+00:00,,"{'31137807', '858646142', '1171755060'}"
1,-0.12356385588645935,6.2719295853370625,1,0.5589732372765226,273181052,{'Entretenimento'},1,0,{'belated'},{'Séries de TV'},9,,0.21951095080860833,7,0,1354118501653483523,2021-01-26T17:26:23.0000000+00:00,,"{'164596794', '348224496', '262388975', '40342628', '245229537', '1001950930697240576', '894130670603309056', '326020899', '87239242'}"
1,-0.15982487797737122,16.91309187819651,1,0.5596256803351365,24742040,{'Entretenimento'},1,0,"{'simulator', 'speculation', 'excessively', 'substantiate', 'international'}",{'Games'},24,,0.22176789709832534,22,0,1369383214062665731,2021-03-09T20:22:54.0000000+00:00,,{'1360998579234570249'}
0,0,211.59124349547798,9,0.5582705416624172,821102114,{'Entretenimento'},0,9,,{'Games'},369,{'https://t.co/zkzqnwcip1'},0,351,0,1336793663792406530,2020-12-09T22:03:40.0000000+00:00,,"{'2785993288', '1171755060'}"
0.6666666666666666,-0.2193705141544342,24.996835242315562,0,0.5596258384567762,24742040,{'Entretenimento'},0,4,"{'postponement', 'substantiate'}",{'Games'},38,,0,34,0,1369386818169372680,2021-03-09T20:37:14.0000000+00:00,,{'561659754'}
1,-0.15233275294303894,4185.050972296273,164,0.5583788158852765,1038082275689340928,{'Entretenimento'},212,722,"{'surprisal', 'sweetheart', 'thoroughgoing', 'along', 'precisely', 'commemorate'}",{'Séries de TV'},6764,{'https://t.co/wgcey8hp2p'},0,5666,0,1339525827118194689,2020-12-17T11:00:19.0000000+00:00,{'witchmas'},
1,-0.1429913341999054,2.238715269097588,0,0.559625202857077,24742040,{'Entretenimento'},0,0,{'stimulate'},{'Games'},2,,0,2,0,1369372321736232963,2021-03-09T19:39:37.0000000+00:00,,{'407337082'}
0.8333333333333334,-0.1350269913673401,341.85558449723055,13,0.5595600585490903,10671602,{'Entretenimento'},10,46,"{'lineament', 'wriggle', 'contribution', 'alongside', 'scoundrel', 'probability', 'pureness', 'revolutionise', 'substantiate', 'International', 'wherefore', 'foreground', 'heroine', 'workweek', 'muliebrity'}",{'Games'},546,{'https://t.co/tyyb8rznlf'},0.10316147170657303,477,0,1367882927384768524,2021-03-05T17:01:18.0000000+00:00,"{'psshare', 'psblog'}",
1,-0.1511211097240448,7.831248841025886,1,0.5593725148178101,15234657,{'Entretenimento'},0,1,"{'shimmer', 'stimulate'}",{'Games'},10,,0,8,0,1363551492486008834,2021-02-21T18:09:44.0000000+00:00,,"{'1170868047474831360', '2892152997', '240695163', '2916921081', '960521571562598401'}"
1,-0.2391892671585083,15.753376025711775,0,0.5593730804654439,34992644,{'Notícias'},0,0,"{'djokovic', 'novak', 'Melbourne'}",{'Esportes'},21,"{'https://t.co/jf8zfimt5d', 'https://t.co/ijpxdksywm'}",0.16138911618004184,21,0,1363564146948665347,2021-02-21T19:00:01.0000000+00:00,{'ausopen'},
1,-0.2118859887123108,1303.5049821452544,64,0.5596307492007341,2557521,{'Notícias'},24,116,"{'wcc', 'jalen', 'ast', 'gonzaga', 'suggs', 'become', 'byu'}",{'Esportes'},2204,{'https://t.co/pp8joupbp6'},0.22465574134541322,2000,0,1369498799673065473,2021-03-10T04:02:12.0000000+00:00,,
1,-0.14492985606193542,1252.8442485383337,156,0.559554992645402,368276033,{'Notícias'},52,237,"{'unrecorded', 'substantiate', 'subspecies', 'completely'}",{'Esportes'},1994,{'https://t.co/yl1f7zez65'},0,1549,0,1367766039254163458,2021-03-05T09:16:50.0000000+00:00,"{'skyf1', 'f1'}",
0.9090909090909091,-0.16492649912834167,87.8888672941914,4,0.5596287379891771,14173315,{'Notícias'},1,32,"{'unrecorded', 'covid', 'subsequently', 'exceptional', 'toward', 'nbc', 'server', 'wellness', 'along', 'lockdown'}",{'Do Mundo'},113,{'https://t.co/uqyxkszmyg'},0.13940896608944991,76,0,1369453291936088064,2021-03-10T01:01:22.0000000+00:00,,"{'1171155332917321730', '287724263', '8036392', '27242124'}"
1,-0.18030473589897156,164.08026899808826,17,0.5596351915059774,14173315,{'Notícias'},5,46,"{'syndrome', 'disablement', 'substantiate', 'corresponding', 'autism'}",{'Do Mundo'},240,{'https://t.co/hiuzgz7rkf'},0.1914539727961682,172,0,1369600439239458820,2021-03-10T10:46:05.0000000+00:00,,
1,-0.1486797332763672,11507.735664588328,129,0.5595995132876236,2557521,{'Notícias'},213,1563,"{'lebron', 'shimmer', 'experience', 'steph', 'sufficiency', 'could'}",{'Esportes'},18992,{'https://t.co/3jufitt6dm'},0.23593713062974597,17087,0,1368785659066941440,2021-03-08T04:48:26.0000000+00:00,{'nbaallstar'},
1,-0.16998350620269775,104.1787006198032,20,0.5596343069878381,28785486,{'Notícias'},0,25,"{'Kansas', 'Carolinas', 'inoculation', 'hypothecate', 'proletarian', 'testament'}",{'Do Mundo'},153,{'https://t.co/8b5su9cb5w'},0.15497619672088953,108,0,1369579853612281860,2021-03-10T09:24:17.0000000+00:00,,
1,-0.2108437418937683,28.67569326574397,10,0.5596346527369779,87818409,{'Notícias'},2,6,"{'1981', 'substantiate', 'rioting', 'differentiate', 'aside'}",{'Do Mundo'},38,{'https://t.co/kpuno9oerl'},0.24001639659743357,20,0,1369587331691208706,2021-03-10T09:54:00.0000000+00:00,,
1,-0.13883110880851746,96.94917609900162,113,0.5596352387186345,16973333,{'Notícias'},20,8,"{'wharfage', 'advantageously', 'along', 'could'}",{'Do Mundo'},159,{'https://t.co/lo5jcjrrhg'},0.23636461617263152,18,0,1369601403686182915,2021-03-10T10:49:55.0000000+00:00,,
0.8666666666666667,-0.17252910137176514,346.3585386033077,6,0.5593980644909325,368276033,{'Notícias'},7,27,"{'mclaren', 'improving', '2021', 'tippytoe', 'vettel', 'competition', 'motivate', 'extremely', 'substantiate', 'zak', 'along', 'f1', 'sebastian'}",{'Esportes'},576,,0.2951444974578714,536,0,1364144723590578176,2021-02-23T09:27:01.0000000+00:00,"{'skyf1', 'f1'}",
1,-0.2085326611995697,2633.26034074498,1834,0.5596520918787706,28785486,{'Notícias'},340,474,"{'terminated', 'predecessor', 'twelvemonth', 'biden', 'fifteen', 'whatsoever', 'pres', 'without', 'foresightful', 'newsperson'}",{'Do Mundo'},4219,{'https://t.co/1bc0o0tfnq'},0.173784630647107,1571,0,1369985018878169089,2021-03-11T12:14:16.0000000+00:00,,
1,-0.20466089248657227,458.447951199204,15,0.5596529235423234,28785486,{'Notícias'},21,100,"{'unrecorded', 'vaccinate', 'substantiate', 'piñata', 'celebrate', 'smashingly'}",{'Do Mundo'},710,"{'https://t.co/40dyf6a9tz', 'https://t.co/zj68hyrscw'}",0.16477586535576183,574,0,1370003953598013450,2021-03-11T13:29:30.0000000+00:00,,
1,-0.18648475408554077,19.13216225000952,3,0.5596356447938625,16973333,{'Notícias'},2,5,"{'inheritress', 'acclaim', 'netflix', 'hypothecate'}",{'Do Mundo'},23,{'https://t.co/n877zcuvwf'},0.18681528903337963,13,0,1369610663547518978,2021-03-10T11:26:42.0000000+00:00,,
1,-0.1596662402153015,76.21797872353798,12,0.5596295552784519,5988062,{'Notícias'},5,22,"{'straightaway', 'budget', 'twelvemonth', 'endorsement', '12bn', 'aside'}",{'Do Mundo'},106,{'https://t.co/synr0dvxb7'},0.19363011196224872,67,0,1369471231448158208,2021-03-10T02:12:39.0000000+00:00,,
1,-0.22070136666297913,66.72347177693999,23,0.5596342503428298,16973333,{'Notícias'},11,10,"{'bezos', 'jeff', '2030', 'multifariousness', 'expend', 'climate', 'along', 'aside'}",{'Do Mundo'},99,{'https://t.co/fur4kbcxiw'},0.22692348402067333,55,0,1369578871478235143,2021-03-10T09:20:23.0000000+00:00,,
1,-0.12167084217071533,67.7146954398071,4,0.5596256687275353,28785486,{'Notícias'},0,26,"{'defendant', 'remuneration'}",{'Do Mundo'},91,{'https://t.co/ogo53o23uw'},0,61,0,1369382859534897161,2021-03-09T20:21:30.0000000+00:00,,
0.8333333333333334,-0.21434152126312256,44.76983875993999,6,0.5596584041995364,28785486,{'Notícias'},0,10,"{'among', 'population', 'inoculation', 'substantiate', 'annunciate'}",{'Do Mundo'},63,{'https://t.co/qmhxkrz7gc'},0.1616223411205797,47,0,1370128693662785544,2021-03-11T21:45:10.0000000+00:00,,
1,-0.22067633271217346,167.4408247074973,68,0.559610528484776,1367531,{'Notícias'},11,25,"{'police', 'necessitate', 'along', 'soundbox', 'workplace', 'muliebrity'}",{'Do Mundo'},266,{'https://t.co/kdxttaz5rf'},0.20956792118646775,162,0,1369037711324119046,2021-03-08T21:30:00.0000000+00:00,,
1,-0.15535399317741394,45.88890466380583,5,0.5596208120921112,5988062,{'Notícias'},2,18,"{'necessitate', 'substantiate', 'endorsement', 'prognosticate'}",{'Do Mundo'},58,{'https://t.co/xmew1oftbp'},0,33,0,1369271770960850949,2021-03-09T13:00:04.0000000+00:00,,{'869308903'}
0.9230769230769231,-0.16989687085151672,458.36584464683483,12,0.5596313007577396,14173315,{'Notícias'},10,103,"{'anyone', 'scarcely', 'sixteen', 'gov', 'prerequisite', 'experience', 'become', 'eligibility', 'hypothecate', 'dunleavy', 'vaccinum', 'workplace'}",{'Do Mundo'},702,{'https://t.co/3dvmdfkk4u'},0.1265911712473686,577,0,1369511733975515142,2021-03-10T04:53:36.0000000+00:00,,
0.9444444444444444,0.031140297651290894,12.338907803817056,1,0.5593392748879188,621583,{'Notícias'},1,0,"{'hither', 'efficiency', 'belatedly', 'nvidia', 'excavation', 'merely', 'betray', 'ethereum', 'indicate', 'mine', 'deliberately', 'hypothecate', 'substantiate', 'foreshorten', 'waggle', 'aside', 'testament'}",{'Tecnologia'},4,,0.11533725896302117,2,0,1362776603047165957,2021-02-19T14:50:35.0000000+00:00,,"{'2464301418', '6269352', '266908809', '172724148'}"
