id,item_id,user_who_published,user_id,ranking,rating,algorithm
4,1369343506939019269,759251,1,1,5,B1
4,1151160990995746816,180463340,1,2,5,B1
4,1343240225129168898,1060978099146260480,1,3,5,B1
4,1312476369830338561,1141417774201184257,1,4,4,B1
4,1369271796499947520,759251,1,5,5,B1
4,1281615412459782145,2412917082,1,6,3,B1
4,1324784149241147394,1288485038,1,7,3,B1
4,1338474408743215106,1288485038,1,8,3,B1
4,1298591876963078146,1288485038,1,9,4,B1
4,1189330936300756992,180463340,1,10,5,B1
3,1369281593693646851,1367531,1,1,4,CS
3,1369388544003895298,5988062,1,2,5,CS
3,1369253885932617735,1367531,1,3,3,CS
3,1369010885075812352,1367531,1,4,4,CS
3,1369523963974549504,87818409,1,5,5,CS
3,1369483207935225856,14173315,1,6,3,CS
3,1369439516679942144,87818409,1,7,5,CS
3,1370144518100684802,28785486,1,8,3,CS
3,1368604102989541376,1367531,1,9,4,CS
3,1369460811760988160,28785486,1,10,5,CS
1,1369325020258983936,24742040,1,1,5,SC
1,1365315820080009221,821102114,1,2,4,SC
1,1344689933978656771,1060978099146260480,1,3,5,SC
1,1369375444793954323,807095,1,4,5,SC
1,1317842770816602114,715177919438577664,1,5,3,SC
1,1336964656792035329,821102114,1,6,2,SC
1,1369441796925886465,807095,1,7,3,SC
1,1336810117057179649,821102114,1,8,3,SC
1,1369400194513723396,807095,1,9,4,SC
1,1365327872643260420,821102114,1,10,1,SC
2,1364607745270423556,821102114,1,1,5,SCSA
2,1337077938076979205,821102114,1,2,3,SCSA
2,1354118501653483523,273181052,1,3,1,SCSA
2,1369383214062665731,24742040,1,4,2,SCSA
2,1336793663792406530,821102114,1,5,2,SCSA
2,1369386818169372680,24742040,1,6,5,SCSA
2,1339525827118194689,1038082275689340928,1,7,4,SCSA
2,1369372321736232963,24742040,1,8,1,SCSA
2,1367882927384768524,10671602,1,9,5,SCSA
2,1363551492486008834,15234657,1,10,1,SCSA
8,1363564146948665347,34992644,2,1,5,B1
8,1369498799673065473,2557521,2,2,4,B1
8,1367766039254163458,368276033,2,3,5,B1
8,1369453291936088064,14173315,2,4,4,B1
8,1369600439239458820,14173315,2,5,3,B1
8,1368785659066941440,2557521,2,6,4,B1
8,1369579853612281860,28785486,2,7,4,B1
8,1369587331691208706,87818409,2,8,4,B1
8,1369601403686182915,16973333,2,9,4,B1
8,1364144723590578176,368276033,2,10,4,B1
7,1369985018878169089,28785486,2,1,3,CS
7,1370003953598013450,28785486,2,2,3,CS
7,1369610663547518978,16973333,2,3,4,CS
7,1369471231448158208,5988062,2,4,4,CS
7,1369578871478235143,16973333,2,5,5,CS
7,1369382859534897161,28785486,2,6,3,CS
7,1370128693662785544,28785486,2,7,4,CS
7,1369037711324119046,1367531,2,8,4,CS
7,1369271770960850949,5988062,2,9,3,CS
7,1369511733975515142,14173315,2,10,2,CS
5,1369375444793954323,807095,2,1,3,SC
5,1362776603047165957,621583,2,2,2,SC
5,1369441796925886465,807095,2,3,2,SC
5,1369400194513723396,807095,2,4,4,SC
5,1369048387815899139,14293310,2,5,2,SC
5,1369355243406954501,807095,2,6,2,SC
5,1362074171832958980,11856342,2,7,3,SC
5,1369614175048249346,25562270,2,8,4,SC
5,1359577321695547392,11856342,2,9,3,SC
5,1362085735063572482,11856342,2,10,3,SC
6,1369292125641269258,46403451,2,1,4,SCSA
6,1369458171467591683,1344951,2,2,3,SCSA
6,1365007905318133766,11856342,2,3,4,SCSA
6,1361388306106318857,368276033,2,4,4,SCSA
6,1361701236395958278,368276033,2,5,4,SCSA
6,1366932843067277314,11856342,2,6,3,SCSA
6,1369030160943611907,2557521,2,7,4,SCSA
6,1366709656974942211,368276033,2,8,5,SCSA
6,1364579317964034050,368276033,2,9,5,SCSA
6,1369441382973272064,759251,2,10,4,SCSA
12,1369362392749121542,17602896,3,1,2,B1
12,1369030162298400778,15635604,3,2,2,B1
12,1363896507242598402,15234657,3,3,4,B1
12,1367883861271613441,15234657,3,4,5,B1
12,1366963364975452162,82652901,3,5,2,B1
12,1369048640111570951,17220817,3,6,2,B1
12,1166395659500568579,115093611,3,7,2,B1
12,1367559613005004800,18256664,3,8,2,B1
12,1353812372331220992,23119425,3,9,2,B1
12,1321186362171666432,140845817,3,10,1,B1
11,1342995722761695232,56518880,3,1,2,CS
11,1323456695725625344,232010910,3,2,3,CS
11,1240704016046116865,115093611,3,3,4,CS
11,1306742315667529729,232010910,3,4,3,CS
11,1153306430100910080,23119425,3,5,3,CS
11,1324916905954652168,232010910,3,6,3,CS
11,1368659881260032001,90057442,3,7,3,CS
11,1256258912866766851,115093611,3,8,4,CS
11,1318297870315839488,140845817,3,9,2,CS
11,1180250671905263616,23119425,3,10,2,CS
9,1367521202042933249,16573941,3,1,5,SC
9,1369325020258983936,24742040,3,2,3,SC
9,1365315820080009221,821102114,3,3,4,SC
9,1367300793485828097,26585095,3,4,3,SC
9,1369075493753020420,17602896,3,5,2,SC
9,1369075561981566976,17602896,3,6,2,SC
9,1303249708169613313,65468720,3,7,2,SC
9,1364666742916583427,985916593065476096,3,8,3,SC
9,1366443197166096385,26585095,3,9,4,SC
9,1367237010608431106,16573941,3,10,3,SC
10,1367894335233142789,43192807,3,1,3,SCSA
10,1324374402750767104,140845817,3,2,5,SCSA
10,1364607745270423556,821102114,3,3,2,SCSA
10,1363941648812675075,43192807,3,4,4,SCSA
10,1365327872643260420,821102114,3,5,3,SCSA
10,1337077938076979205,821102114,3,6,3,SCSA
10,1369383214062665731,24742040,3,7,3,SCSA
10,1336793663792406530,821102114,3,8,3,SCSA
10,1367315410106736640,82652901,3,9,3,SCSA
10,1368286394792046596,82652901,3,10,3,SCSA
17,1369343506939019269,759251,4,1,5,B1
17,1369959855692337152,28785486,4,2,1,B1
17,1352325551621595136,19110632,4,3,2,B1
17,1369598009084887043,15808647,4,4,5,B1
17,1368835740529000449,15808647,4,5,5,B1
17,1369397597421645834,807095,4,6,5,B1
17,1370128693662785544,28785486,4,7,5,B1
17,1369242094217404419,14293310,4,8,5,B1
17,1369453291936088064,14173315,4,9,4,B1
17,1369552733536219138,1344951,4,10,4,B1
15,1369113689845022721,14293310,4,1,2,CS
15,1369456737070313476,807095,4,2,2,CS
15,1369525973302079490,28785486,4,3,4,CS
15,1369563595978252291,15012486,4,4,1,CS
15,1369337073463885828,15012486,4,5,4,CS
15,1369600439239458820,14173315,4,6,4,CS
15,1370053184589299724,28785486,4,7,2,CS
15,1369275546044162051,5988062,4,8,5,CS
15,1369049581208670208,14293310,4,9,4,CS
15,1369506070989836290,759251,4,10,3,CS
13,1349380288783253504,19110632,4,1,2,SC
13,1349377838722519040,19110632,4,2,2,SC
13,1369375444793954323,807095,4,3,5,SC
13,1362776603047165957,621583,4,4,5,SC
13,1369441796925886465,807095,4,5,3,SC
13,1369400194513723396,807095,4,6,5,SC
13,1369048387815899139,14293310,4,7,5,SC
13,1369355243406954501,807095,4,8,5,SC
13,1354011094751260673,19110632,4,9,4,SC
13,1353672852747284480,19110632,4,10,4,SC
14,1369458171467591683,1344951,4,1,4,SCSA
14,1369441382973272064,759251,4,2,5,SCSA
14,1368622654870192131,15808647,4,3,5,SCSA
14,1352554075657801732,19110632,4,4,1,SCSA
14,1369226601972563972,15808647,4,5,5,SCSA
14,1364851499042537474,19110632,4,6,2,SCSA
14,1369438033892806663,15808647,4,7,5,SCSA
14,1369619124318580736,15808647,4,8,5,SCSA
14,1369495249417101312,28785486,4,9,3,SCSA
14,1352937076669476864,19110632,4,10,2,SCSA
20,1369343506939019269,759251,5,1,3,B1
20,1368856158010810369,15808647,5,2,5,B1
20,1369590734672760836,15808647,5,3,5,B1
20,1369242094217404419,14293310,5,4,5,B1
20,1368975418741624833,1367531,5,5,5,B1
20,1369382939289587718,28785486,5,6,5,B1
20,1369517501248372738,14293310,5,7,5,B1
20,1369543002385956865,87818409,5,8,5,B1
20,1369612914982846469,87818409,5,9,5,B1
20,1369480643315462144,14173315,5,10,5,B1
19,1369351763355201542,14293310,5,1,4,CS
19,1370004858464534529,28785486,5,2,3,CS
