text,item_id,user_who_published,user_id,ranking,rating,like_count,retweet_count,reply_count,quote_count,algorithm,date
@RangersFC Congratulations from all of us at #LFC to Steven Gerrard and his team on winning the Scottish Premier League title,1368561200754270210,19583545,81.0,1.0,5.0,33593,4483,439,419,SCSA-SCSA_PLUS,2023-08-19
.@MoSalah's brilliant strike at Leicester has been nominated for the @premierleague's Goal of the Month award ?⚽️,1367822755769573377,19583545,81.0,2.0,5.0,6105,406,237,62,SCSA-SCSA_PLUS,2023-08-19
"First @PremierLeague start since December 2019 ✅

Right behind you, @CalumChambers95 - let's go! ?

? #BURARS https://t.co/PrD0p0lawk",1368170081633644548,34613288,81.0,3.0,4.0,5707,410,104,57,SCSA-SCSA_PLUS,2023-08-19
"Benefitting @MusicForRelief, the @GlobalOdeToJoy is an international video project launched by @YouTube and @googlearts celebrating Beethoven’s 250th birthday. We asked @BradDelson on his birthday what brings him joy. Join us and share videos that inspire #joy. #globalodetojoy https://t.co/yJyPqUrycy",1333873034114064385,19373710,81.0,4.0,5.0,2743,314,92,85,SCSA-SCSA_PLUS,2023-08-19
"? @TrentAA ? Bobby ? @necowilliams01 ?

There can only be one FUT Co-op winner at the club ??

@EASPORTSFIFA | #FIFA21 | #WinAsOne https://t.co/wXsTMP0vc3",1367497561645457427,19583545,81.0,5.0,5.0,2666,225,48,15,SCSA-SCSA_PLUS,2023-08-19
"A U B A ? A M A

Miss @Aubameyang7's Twitch takeover?

Catch the best bits with @Frimpon ?",1369367467001315336,34613288,81.0,6.0,4.0,2515,189,50,16,SCSA-SCSA_PLUS,2023-08-19
"Good luck today, @ArsenalWFC

? @sportsbetio https://t.co/SNDYByKi8N",1368501683219693570,34613288,81.0,7.0,5.0,2280,117,35,2,SCSA-SCSA_PLUS,2023-08-19
"For Mike’s birthday, take 20% off storewide in the Official Mike Shinoda Store.

Shop Now: https://t.co/wBnCeNFyMe https://t.co/SSeyH1ZWKq",1359932980974657536,19373710,81.0,8.0,5.0,668,54,5,1,SCSA-SCSA_PLUS,2023-08-19
"Tonight at 8pm ET, Eddie will perform at the 34th Annual Benefit Concert for @TibetHouseUS with @PhilipGlass, @Phoebe_Bridgers, @BlkfootWhtfoot, &amp; more.

Last chance for tickets to this virtual event: https://t.co/BEW7AiQFrQ https://t.co/AXDaV1VUZO",1362069293790162946,15155074,81.0,9.0,5.0,276,40,4,1,SCSA-SCSA_PLUS,2023-08-19
Want to support more journalism like this? Subscribe to WIRED for just $5 a year and get full access to our website and magazine https://t.co/l9FUptKwgd https://t.co/iaCexurIpK,1369458171467591683,1344951,81.0,10.0,5.0,4,0,0,0,SCSA-SCSA_PLUS,2023-08-19
"⚡️ Nicolas Pepe
?? @CaitlinFoord
? @Aubameyang7
? @HectorBellerin
??????? @KieranTierney1
?? @Katie_McCabe11
? @DavidLuiz_4

February Goal of the Month ?",1367113993815547906,34613288,81.0,1.0,5.0,7865,644,295,98,SC-SCSA_PLUS,2023-08-19
"? Hello, Estadi Johan Cruyff! https://t.co/OHtmopLePj",1368909409775149064,96951800,81.0,2.0,5.0,5170,155,12,1,SC-SCSA_PLUS,2023-08-19
"I remember being nervous &amp; concerned about what I should wear. After much deliberation, I settled on a t-shirt &amp; oversized green pants. The black Project 86 t-shirt I would wear today if I still had it, but the choice in pants gets me teased by my daughters ? @phoenixlp https://t.co/ZQW3Wku6OM",1350483251291451392,19373710,81.0,3.0,5.0,1314,120,25,12,SC-SCSA_PLUS,2023-08-19
"@NBAUK @dallasmavs @LacazetteAlex Represent, @J_Rich1! ?",1367462925250818061,34613288,81.0,4.0,5.0,792,26,3,1,SC-SCSA_PLUS,2023-08-19
@ArsenalWFC @BarclaysFAWSL @bmeado9 ? ?,1368649404702408707,34613288,81.0,5.0,5.0,613,23,6,0,SC-SCSA_PLUS,2023-08-19
@ArsenalWFC @CaitlinFoord @BarclaysFAWSL ?,1368580185642110982,34613288,81.0,6.0,5.0,558,20,11,0,SC-SCSA_PLUS,2023-08-19
"@vinijr @isco_alarcon @RodrygoGoes @marcoasensio10 @hugoduro14 ↔ @marianodiaz7

#HankookTire https://t.co/mj9LuDPgzu",1366499073671454725,452155423,81.0,7.0,5.0,295,22,8,2,SC-SCSA_PLUS,2023-08-19
This just in: @MikeMcCreadyPJ and Eddie will be dialing into @PJRadio's Faithfull Forum on @SiriusXM. Call 1-855-9-PEARLJAM to join the conversation at 5pm ET.,1359597695548153864,15155074,81.0,8.0,5.0,102,10,5,1,SC-SCSA_PLUS,2023-08-19
"?? That's all from our #JuveFCP presser!

? More #JuveUCL build-up to follow ⭐️⚪️⚫️",1368932010971004931,1638021792,81.0,9.0,5.0,108,4,1,0,SC-SCSA_PLUS,2023-08-19
@qayyumabro @dazchild @scottishwildcat @BrianBarilla Happy to help out here! Nvidia says it will deliberately reduce the efficiency of its latest card by 50% when it is used to mine the crypto-currency Ethereum - but it will also sell a bespoke crypto-currency mining processor,1362776603047165957,621583,81.0,10.0,5.0,2,0,1,1,SC-SCSA_PLUS,2023-08-19
Happy Birthday @jonbonjovi! https://t.co/SoNO78jj5a,1366854672955240450,22720074,81.0,1.0,5.0,19284,2552,1062,433,CS-SCSA_PLUS,2023-08-19
"Here comes the weekend! ?

? #BURARS https://t.co/7006gpdFhf",1367862841907294209,34613288,81.0,2.0,5.0,13728,816,151,49,CS-SCSA_PLUS,2023-08-19
"Kick-off times across the world for #MCIMUN... ?️

? #MUFC
✈️ @Aeroflot_World
? #WeBringTheWorldTogether https://t.co/vwAX6F8vIJ",1368487188724350976,558797310,81.0,3.0,5.0,4938,618,182,82,CS-SCSA_PLUS,2023-08-19
Our new single “Better Without You” off our upcoming album The Bitter Truth is OUT NOW! https://t.co/JPnNhw6S5u https://t.co/ldUy2PdyE0,1367703501367771141,55010030,81.0,4.0,5.0,2272,634,146,141,CS-SCSA_PLUS,2023-08-19
#LIVCHE ? https://t.co/eDa5SJNYgH,1367548056628039684,19583545,81.0,5.0,5.0,3101,259,58,14,CS-SCSA_PLUS,2023-08-19
"? ""Emile had some discomfort still in the week and he wasn't ready. Hopefully it's not too much.""

? Hear from the boss ahead of #BURARS ? https://t.co/ibQPTDXZ4i",1368174374247923712,34613288,81.0,6.0,5.0,1614,127,41,10,CS-SCSA_PLUS,2023-08-19
In just 30 minutes @jonbonjovi is linking up with @strombo on @AppleMusic Hits to talk about the newest album ‘2020’ and being more socially conscious. Listen here: https://t.co/vv601D0IJ0 https://t.co/Ic50cNMz8W,1313215942826967040,22720074,81.0,7.0,5.0,1173,148,26,5,CS-SCSA_PLUS,2023-08-19
"Der Countdown läuft! Liveticker, Webradio, Toralarm – mit der FCB App nichts mehr verpassen!

??  https://t.co/AyyUQZ4c2y

#PackMas #FCBBVB #MiaSanMia https://t.co/tAPT3gmWC8",1368234120082554894,773069256,81.0,8.0,5.0,372,37,5,2,CS-SCSA_PLUS,2023-08-19
"?️? #PSGFCB

@IGanaGueye reveals his and the squad's ambitions with the business end of the season approaching fast

https://t.co/NiZP9EoIo3",1368939918727278599,3001704118,81.0,9.0,5.0,75,4,7,1,CS-SCSA_PLUS,2023-08-19
Clubhouse app: what is it and how do you get an invite to the exclusive audio app? https://t.co/dbMP6mBc3O,1361801412741529606,7905122,81.0,10.0,5.0,5,8,1,6,CS-SCSA_PLUS,2023-08-19
HOLY TER STEGEN! What a tremendous save from point blank! ?????????? #OsasunaBarça,1368299640421052423,96951800,81.0,1.0,5.0,15639,626,68,37,B1-SCSA_PLUS,2023-08-19
What a shift! ? https://t.co/sBprn0X91L,1368225636993691649,22910295,81.0,2.0,5.0,8599,790,103,39,B1-SCSA_PLUS,2023-08-19
"Never skip leg day! ?️‍♂️

?: @TSilva3 https://t.co/eEJjBSJpVz",1369267106215235589,22910295,81.0,3.0,5.0,7107,553,85,50,B1-SCSA_PLUS,2023-08-19
"?8️⃣ Away league matches unbeaten in @LaLigaEN!
? Next stop: EL DERBI
#HalaMadrid https://t.co/d1gr1DTi8t",1367112526647934977,452155423,81.0,4.0,5.0,3220,138,29,8,B1-SCSA_PLUS,2023-08-19
"89' | 1-1 | GOOOOOOOOOOOOOAAAAAAALLLLL by @vinijr!!!!
#RealMadridRealSociedad | #FIFA21 https://t.co/91Lze3OUGK",1366505349386240005,452155423,81.0,5.0,5.0,1449,163,54,34,B1-SCSA_PLUS,2023-08-19
"? @Benzema: “We put in a good performance, it was very difficult against a good team. They had the better of the first half and we had the better of the second. It’s a good point for us”
#HalaMadrid https://t.co/iQd2xJDbtK",1368637578694524931,452155423,81.0,6.0,5.0,1057,75,16,9,B1-SCSA_PLUS,2023-08-19
"82’ | ? | ALMOST A HAT-TRICK FROM @FEDERICOCHIESA! Marchesin somehow saves a certain goal!

#JuveFCP [2-1] #JuveUCL https://t.co/if0gDtEtfk",1369403796443570180,1638021792,81.0,7.0,5.0,723,39,23,10,B1-SCSA_PLUS,2023-08-19
"? Nine trophies won in ⚪️⚫️, many happy returns, @sturaro_stefano! ?

#ForzaJuve https://t.co/a3o48DBGaX",1369226708763746305,1638021792,81.0,8.0,3.0,762,29,8,3,B1-SCSA_PLUS,2023-08-19
"? SQUAD | Bono and @jkeey4 return to a squad of 24 to travel to Dortmund.

#WeareSevilla #UCL https://t.co/ByahFbUcV9",1368844528170500098,2941994339,81.0,9.0,5.0,108,11,8,5,B1-SCSA_PLUS,2023-08-19
"⌚️ 74'

@AnderHerrera is on in place of Julian Draxler ?

@girondins 0️⃣ - 1⃣ @PSG_English

#FCGBPSG https://t.co/TUFJIfqJEk",1367226152549577157,3001704118,81.0,10.0,5.0,35,2,1,0,B1-SCSA_PLUS,2023-08-19
"Continue the #HybridTheory celebration with two new @Spotify Singles: @grandson’s cover of “One Step Closer” and @fever333’s take on “In The End.” Available now, only on Spotify: https://t.co/YdzDq9Oblu https://t.co/UaIjka4vTa",1321455751567532032,19373710,79.0,1.0,5.0,3984,698,95,202,SCSA-SCSA_PLUS,2023-08-19
"Benefitting @MusicForRelief, the @GlobalOdeToJoy is an international video project launched by @YouTube and @googlearts celebrating Beethoven’s 250th birthday. We asked @BradDelson on his birthday what brings him joy. Join us and share videos that inspire #joy. #globalodetojoy https://t.co/yJyPqUrycy",1333873034114064385,19373710,79.0,2.0,3.0,2743,314,92,85,SCSA-SCSA_PLUS,2023-08-19
"Join me and the hosts @DavidDobrik and @KekePalmer to say PEACE OUT 2020 ???? !! its goin down tomorrow 12/29 @ 12pm PT for our end of the year streaming event, check it only on @FacebookWatch !
You can share what got you through 202 with the tag #GotMeThrough2020Challenge https://t.co/aQ9ENiGhbc",1343729046891347968,3004231,79.0,3.0,5.0,734,85,65,6,SCSA-SCSA_PLUS,2023-08-19
"For Mike’s birthday, take 20% off storewide in the Official Mike Shinoda Store.

Shop Now: https://t.co/wBnCeNFyMe https://t.co/SSeyH1ZWKq",1359932980974657536,19373710,79.0,4.0,4.0,668,54,5,1,SCSA-SCSA_PLUS,2023-08-19
