user_id,followers_count,lists_count,received_likes_count,published_news_count,is_verified
100220864,86548,6,305249,12,0
101871654,188,9,287,25,0
1038082275689340928,5666,12,89019,26,0
1060978099146260480,62022,14,397980,36,0
10671602,35007,5,53558,17,0
108361327,6744,3,21699,10,0
10933912,1,2,2,2,0
11026952,2828,2,3901,2,0
110783489,1085,2,3003,3,0
111556576,77,3,115,3,0
1124816718,2,6,12,9,0
113696373,6498,4,38308,7,0
1141417774201184257,11406,2,69950,7,0
115093611,601,5,1451,5,0
116362700,16460,1,16460,1,0
118483749,711,4,1872,4,0
11856342,1058,5,18156,32,0
1205974434,15549,4,46244,4,0
1232061287301074945,6531,13,14966,20,0
1288485038,23526,16,287389,28,0
13058772,2,1,14,7,0
1305941,30,3,36,3,0
134209832,85,2,85,2,0
1344951,552,9,1905,36,0
1367531,992,20,10425,27,0
140845817,1455,12,5421,21,0
14130366,557,1,557,1,0
14173315,577,20,2724,26,0
14230524,265718,11,4240724,43,0
14293310,561,21,6400,45,0
14434070,48,12,85,15,0
14464766,244,7,1333,8,0
14800270,287,3,458,11,0
14885549,29,4,63,5,0
15012486,979,12,3544,15,0
15066760,61,5,157,6,0
15110357,8,3,21,3,0
15155074,14175,18,65277,39,0
15234657,209,9,1448,25,0
1543669128,55,3,71,3,0
155320577,669,2,732,4,0
155659213,327306,2,515676,2,0
155705264,19659,11,118662,22,0
1561168178,19437,3,26465,3,0
15635604,679,8,2171,15,0
156516240,1576,5,2651,9,0
15808647,74,13,1971,87,0
15900167,757,2,818,2,0
16184358,30,1,30,1,0
16201775,17179,4,18674,5,0
16211434,48,2,130,4,0
16212685,4253,3,4807,4,0
1636590253,6058,3,13197,3,0
1638021792,2104,7,6704,18,0
16573941,4125,8,24254,44,0
16727749,574,5,744,7,0
16973333,55,17,401,23,0
17019152,452,3,1147,8,0
17220817,700,8,2850,21,0
1754641,4,1,4,1,0
17602896,2902,12,8236,49,0
17919972,404675,11,7071819,89,0
180463340,164212,15,1356178,22,0
180505807,4,2,11,8,0
18222378,10911,4,17942,4,0
18228898,8037,5,12604,7,0
18256664,595,13,1340,15,0
18645813,1093,5,3502,5,0
18776605,711,5,2915,6,0
18847632,2708,11,16457,17,0
19028953,202548,5,1300009,14,0
19077044,659,5,1308,5,0
19110632,20,11,84,78,0
19114743,1622,5,4430,16,0
19230601,806,1,806,1,0
19263978,3159,6,5574,10,0
19373710,8534,13,122132,50,0
19407053,28,6,406,21,0
19564719,255,1,255,1,0
19583545,33593,8,212349,16,0
19604744,2638,3,5447,8,0
19798578,695,3,1424,3,0
202222127,317,4,596,4,0
20265254,1692,3,3064,4,0
203162990,433,5,2128,9,0
20322929,19938,1,19938,1,0
20346956,13744,9,57806,13,0
20562637,41,2,130,4,0
20571756,10,1,10,1,0
21001379,384,8,1644,8,0
213969309,21931,3,42879,3,0
214201922,24974,4,79084,11,0
214413743,4024,2,4169,2,0
21447363,35175,10,73215,14,0
2157651508,953,1,953,1,0
2176998871,497,5,873,6,0
21887420,10,4,29,5,0
