algorithm,mrr_v2,mrr_legacy,map_v2,map_legacy,ndcg_v2,ndcg_legacy
B1-SCSA_PLUS,0.739570757880617,0.6863626201654373,0.6893323942774814,0.6995947909680303,0.7888348088371107,0.7012714717953418
B1-SCSA_PLUS_V3,0.7204225352112675,,0.6580058437042005,,0.767690215958296,
B1-STATE_ART,0.7384976525821596,0.7349765258215963,0.6920088165678374,0.6897770396630223,0.7893296296960661,0.8360951116946084
CS-SCSA_PLUS,0.6048289738430583,0.5243787511393146,0.5929945124893984,0.5480764214919144,0.7107808185996505,0.6258424541144618
CS-SCSA_PLUS_V3,0.640666219539459,,0.6037701207243461,,0.7237558807998531,
CS-STATE_ART,0.5887882852671584,0.5844064386317908,0.591234068875333,0.5882484900585169,0.7066272891415972,0.7990423449127787
SC-SCSA_PLUS,0.7526799304196565,0.7014440644153525,0.7143747886013868,0.6942495262945361,0.8025173609976971,0.7092883913220218
SC-SCSA_PLUS_V3,0.6975212002609262,,0.6644859648577849,,0.7683812233550443,
SC-STATE_ART,0.7534355294629268,0.7361437268971515,0.7075155377980721,0.7001567305004193,0.798427397164704,0.8417898227147408
SCSA-SCSA_PLUS,0.7113346747149565,0.6719026826069081,0.6674511908310533,0.6590270458731223,0.7636353950650755,0.712035711262145
SCSA-SCSA_PLUS_V3,0.6520064833445115,,0.5920209173914741,,0.7094115159182336,
SCSA-STATE_ART,0.7535546613011402,0.7136485580147551,0.6754656155628657,0.6626323660658838,0.776284873051348,0.8404078652123659
