algorithm_a,algorithm_b,metric,t_statistic,p_value,significant,n_pairs
B1-STATE_ART,B1-SCSA_PLUS,mrr,-0.0412612738776916,0.967205069199372,False,71
B1-STATE_ART,B1-SCSA_PLUS,map,0.2202743211530581,0.8262986820633796,False,71
B1-STATE_ART,B1-SCSA_PLUS,ndcg,0.0470300921779162,0.9626231641175348,False,71
SCSA-STATE_ART,SCSA-SCSA_PLUS,mrr,1.8944643805644663,0.0622947550979644,False,71
SCSA-STATE_ART,SCSA-SCSA_PLUS,map,0.9808984684009996,0.330020914264414,False,71
SCSA-STATE_ART,SCSA-SCSA_PLUS,ndcg,1.827597641394361,0.0718720194843637,False,71
SC-STATE_ART,SC-SCSA_PLUS,mrr,0.0325010343806716,0.9741624213728272,False,73
SC-STATE_ART,SC-SCSA_PLUS,map,-0.8180831531125003,0.4160089421352262,False,73
SC-STATE_ART,SC-SCSA_PLUS,ndcg,-0.5176835282565484,0.606266086883143,False,73
CS-STATE_ART,CS-SCSA_PLUS,mrr,-0.6219470146414641,0.5359972364398534,False,71
CS-STATE_ART,CS-SCSA_PLUS,map,-0.1645764250250286,0.869751706708162,False,71
CS-STATE_ART,CS-SCSA_PLUS,ndcg,-0.4308582319494478,0.6678953094546463,False,71
B1-STATE_ART,B1-SCSA_PLUS_V3,mrr,0.5698206909719624,0.5706236013967653,False,71
B1-STATE_ART,B1-SCSA_PLUS_V3,map,1.6577841106814033,0.1018363199853414,False,71
B1-STATE_ART,B1-SCSA_PLUS_V3,ndcg,1.3613414925722809,0.1777718841533978,False,71
SCSA-STATE_ART,SCSA-SCSA_PLUS_V3,mrr,2.164439836954105,0.0338434591158815,True,71
SCSA-STATE_ART,SCSA-SCSA_PLUS_V3,map,2.7941115724326124,0.0067086183153146,True,71
SCSA-STATE_ART,SCSA-SCSA_PLUS_V3,ndcg,2.744007353697289,0.0077039495289655,True,71
