user_id,algorithm,mrr,map,ndcg,precision_at_1,precision_at_2,precision_at_3,precision_at_4,precision_at_5,precision_at_10
1,B1-STATE_ART,1.0,0.9093537414965985,0.9683310355387569,1.0,1.0,1.0,0.75,0.8,0.7
2,B1-STATE_ART,1.0,0.9467813051146384,0.9842184869190973,1.0,1.0,1.0,1.0,1.0,0.9
3,B1-STATE_ART,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,0.4,0.2
4,B1-STATE_ART,1.0,0.9067956349206348,0.9672068480996276,1.0,1.0,1.0,0.75,0.8,0.8
5,B1-STATE_ART,0.5,0.7856701940035273,0.8328978515038054,0.0,0.5,0.6666666666666666,0.75,0.8,0.9
6,B1-STATE_ART,1.0,0.7180555555555554,0.8749486878739774,1.0,0.5,0.6666666666666666,0.75,0.6,0.6
7,B1-STATE_ART,1.0,0.8401360544217688,0.9459073824327568,1.0,1.0,1.0,0.75,0.8,0.7
8,B1-STATE_ART,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,B1-STATE_ART,1.0,0.8917233560090703,0.9652102434192421,1.0,1.0,1.0,1.0,0.8,0.7
10,B1-STATE_ART,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,B1-STATE_ART,0.2,0.3151785714285714,0.517142637277806,0.0,0.0,0.0,0.0,0.2,0.4
12,B1-STATE_ART,1.0,0.8954648526077096,0.9643632283499571,1.0,1.0,1.0,0.75,0.8,0.7
13,B1-STATE_ART,1.0,0.7000000000000001,0.8529278650606567,1.0,0.5,0.3333333333333333,0.5,0.6,0.3
15,B1-STATE_ART,0.3333333333333333,0.4444444444444444,0.6039071644781281,0.0,0.0,0.3333333333333333,0.5,0.4,0.3
16,B1-STATE_ART,0.5,0.35,0.5640920940185894,0.0,0.5,0.3333333333333333,0.25,0.2,0.2
17,B1-STATE_ART,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8
18,B1-STATE_ART,1.0,0.6666666666666666,0.8315546295836225,1.0,0.5,0.3333333333333333,0.25,0.2,0.2
19,B1-STATE_ART,0.2,0.3923809523809524,0.5701022001683288,0.0,0.0,0.0,0.0,0.2,0.5
20,B1-STATE_ART,0.25,0.5021825396825397,0.6425958210520416,0.0,0.0,0.0,0.25,0.4,0.6
21,B1-STATE_ART,1.0,0.5694444444444444,0.7844801364718913,1.0,0.5,0.3333333333333333,0.25,0.2,0.3
22,B1-STATE_ART,1.0,0.9765432098765433,0.9937947856332161,1.0,1.0,1.0,1.0,1.0,0.9
23,B1-STATE_ART,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,B1-STATE_ART,1.0,0.9129251700680271,0.9731203984025375,1.0,1.0,1.0,1.0,0.8,0.7
25,B1-STATE_ART,1.0,0.9888888888888889,0.9971876401972101,1.0,1.0,1.0,1.0,1.0,0.9
26,B1-STATE_ART,1.0,0.5523809523809524,0.7780573279296032,1.0,0.5,0.3333333333333333,0.25,0.2,0.5
27,B1-STATE_ART,1.0,0.9087301587301587,0.9714977244644463,1.0,1.0,1.0,1.0,0.8,0.7
28,B1-STATE_ART,0.3333333333333333,0.2851851851851852,0.511558309303655,0.0,0.0,0.3333333333333333,0.25,0.2,0.3
29,B1-STATE_ART,1.0,0.7972789115646258,0.9223960604395118,1.0,1.0,0.6666666666666666,0.75,0.6,0.7
30,B1-STATE_ART,1.0,0.6192857142857143,0.8112231196105879,1.0,0.5,0.3333333333333333,0.25,0.4,0.5
31,B1-STATE_ART,1.0,0.6488095238095237,0.838847952689218,1.0,0.5,0.6666666666666666,0.5,0.4,0.4
32,B1-STATE_ART,0.5,0.5833333333333333,0.6934264036172708,0.0,0.5,0.6666666666666666,0.5,0.4,0.2
33,B1-STATE_ART,1.0,0.8520408163265306,0.9498751896215565,1.0,1.0,1.0,0.75,0.8,0.7
34,B1-STATE_ART,1.0,0.575,0.7933009890796178,1.0,0.5,0.3333333333333333,0.25,0.4,0.4
35,B1-STATE_ART,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,B1-STATE_ART,1.0,0.9467813051146384,0.9842184869190973,1.0,1.0,1.0,1.0,1.0,0.9
37,B1-STATE_ART,0.5,0.45,0.6240505200038379,0.0,0.5,0.3333333333333333,0.25,0.4,0.2
38,B1-STATE_ART,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
39,B1-STATE_ART,0.2,0.2888888888888889,0.4899692203633839,0.0,0.0,0.0,0.0,0.2,0.3
40,B1-STATE_ART,1.0,0.7944444444444445,0.9221235176732561,1.0,1.0,0.6666666666666666,0.75,0.6,0.5
41,B1-STATE_ART,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.25,0.2,0.1
42,B1-STATE_ART,1.0,0.7986111111111112,0.9223260797603763,1.0,1.0,0.6666666666666666,0.75,0.6,0.4
43,B1-STATE_ART,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,B1-STATE_ART,0.5,0.6041666666666666,0.7327711443782634,0.0,0.5,0.6666666666666666,0.75,0.6,0.4
45,B1-STATE_ART,0.3333333333333333,0.3333333333333333,0.5249810332008933,0.0,0.0,0.3333333333333333,0.25,0.2,0.2
46,B1-STATE_ART,0.5,0.5961904761904762,0.725124396546942,0.0,0.5,0.3333333333333333,0.5,0.6,0.5
47,B1-STATE_ART,0.5,0.7856701940035273,0.8328978515038054,0.0,0.5,0.6666666666666666,0.75,0.8,0.9
48,B1-STATE_ART,0.3333333333333333,0.33134920634920634,0.5391065605018962,0.0,0.0,0.3333333333333333,0.25,0.2,0.3
49,B1-STATE_ART,1.0,0.9666666666666666,0.9896062251871525,1.0,1.0,1.0,1.0,0.8,0.5
50,B1-STATE_ART,0.5,0.519047619047619,0.7016521873278284,0.0,0.5,0.6666666666666666,0.5,0.4,0.5
51,B1-STATE_ART,1.0,0.9571428571428572,0.9878316351280039,1.0,1.0,1.0,1.0,1.0,0.7
53,B1-STATE_ART,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,B1-STATE_ART,1.0,0.8305555555555554,0.9361705073520016,1.0,1.0,0.6666666666666666,0.75,0.8,0.6
55,B1-STATE_ART,1.0,0.8782627865961198,0.9504206262110481,1.0,1.0,0.6666666666666666,0.75,0.8,0.9
57,B1-STATE_ART,0.5,0.49652777777777773,0.6821597128635729,0.0,0.5,0.6666666666666666,0.5,0.4,0.4
58,B1-STATE_ART,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
60,B1-STATE_ART,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
61,B1-STATE_ART,0.5,0.6347222222222222,0.7632671405540984,0.0,0.5,0.6666666666666666,0.75,0.6,0.6
62,B1-STATE_ART,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
63,B1-STATE_ART,0.25,0.25740740740740736,0.4790262927928244,0.0,0.0,0.0,0.25,0.2,0.3
66,B1-STATE_ART,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,0.4,0.2
68,B1-STATE_ART,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
70,B1-STATE_ART,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
71,B1-STATE_ART,1.0,0.8687074829931973,0.9579534943578898,1.0,1.0,1.0,1.0,0.8,0.7
72,B1-STATE_ART,1.0,0.8644345238095237,0.9466454870600813,1.0,1.0,0.6666666666666666,0.75,0.8,0.8
73,B1-STATE_ART,0.3333333333333333,0.4609523809523809,0.6326891704378731,0.0,0.0,0.3333333333333333,0.25,0.4,0.5
74,B1-STATE_ART,0.3333333333333333,0.569047619047619,0.6948159055899311,0.0,0.0,0.3333333333333333,0.5,0.6,0.6
76,B1-STATE_ART,0.3333333333333333,0.2777777777777778,0.4911492931622974,0.0,0.0,0.3333333333333333,0.25,0.2,0.2
77,B1-STATE_ART,0.5,0.6535714285714285,0.7760784709829227,0.0,0.5,0.6666666666666666,0.75,0.6,0.7
78,B1-STATE_ART,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,B1-STATE_ART,0.5,0.4571428571428572,0.6574017496914832,0.0,0.5,0.3333333333333333,0.5,0.4,0.4
81,B1-STATE_ART,1.0,0.9765432098765433,0.9937947856332161,1.0,1.0,1.0,1.0,1.0,0.9
1,B1-SCSA_PLUS,1.0,0.8631519274376417,0.9531641314941091,1.0,1.0,1.0,0.75,0.8,0.7
2,B1-SCSA_PLUS,1.0,0.9282627865961199,0.9770153702993118,1.0,1.0,1.0,1.0,0.8,0.9
3,B1-SCSA_PLUS,1.0,0.8333333333333333,0.9197207891481876,1.0,0.5,0.6666666666666666,0.5,0.4,0.2
4,B1-SCSA_PLUS,1.0,0.8338789682539682,0.9165542635924872,1.0,0.5,0.6666666666666666,0.75,0.8,0.8
5,B1-SCSA_PLUS,0.5,0.7856701940035273,0.8328978515038054,0.0,0.5,0.6666666666666666,0.75,0.8,0.9
6,B1-SCSA_PLUS,1.0,0.7884920634920634,0.9199753853803091,1.0,1.0,0.6666666666666666,0.75,0.6,0.6
7,B1-SCSA_PLUS,1.0,0.9240362811791382,0.9764093402750902,1.0,1.0,1.0,1.0,0.8,0.7
8,B1-SCSA_PLUS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,B1-SCSA_PLUS,1.0,0.8083900226757369,0.9256850023120645,1.0,1.0,0.6666666666666666,0.75,0.6,0.7
10,B1-SCSA_PLUS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,B1-SCSA_PLUS,0.3333333333333333,0.3972222222222222,0.5975212186578347,0.0,0.0,0.3333333333333333,0.25,0.2,0.5
