algorithm,mrr,map,ndcg
B1-SCSA_PLUS,0.739570757880617,0.6893323942774814,0.7888348088371107
B1-SCSA_PLUS_V3,0.7204225352112675,0.6580058437042005,0.767690215958296
B1-STATE_ART,0.7384976525821596,0.6920088165678374,0.7893296296960661
CS-SCSA_PLUS,0.6048289738430583,0.5929945124893984,0.7107808185996505
CS-SCSA_PLUS_V3,0.640666219539459,0.6037701207243461,0.7237558807998531
CS-STATE_ART,0.5887882852671584,0.591234068875333,0.7066272891415972
SC-SCSA_PLUS,0.7526799304196565,0.7143747886013868,0.8025173609976971
SC-SCSA_PLUS_V3,0.6975212002609262,0.6644859648577849,0.7683812233550443
SC-STATE_ART,0.7534355294629268,0.7075155377980721,0.798427397164704
SCSA-SCSA_PLUS,0.7113346747149565,0.6674511908310533,0.7636353950650755
SCSA-SCSA_PLUS_V3,0.6520064833445115,0.5920209173914741,0.7094115159182336
SCSA-STATE_ART,0.7535546613011402,0.6754656155628657,0.776284873051348
