algorithm,mrr_v3,mrr_legacy,map_v3,map_legacy,ndcg_v3,ndcg_legacy
B1,0.7480277185501065,,0.6874436322520662,,0.7581814177566419,
B1-SCSA_PLUS,0.7621890547263681,0.6863626201654373,0.676042888725652,0.6995947909680303,0.7776563301330417,0.7012714717953418
B1-SCSA_PLUS-SCSA_PLUS_V3,0.7619580668088131,0.6976689976689977,0.6590110215969538,0.6624956751088541,0.7669222141267723,0.6693947509070166
B1-STATE_ART,0.7825870646766169,0.7349765258215963,0.6920088165678374,0.6897770396630223,0.7893296296960661,0.8360951116946084
B1-STATE_ART-SCSA_PLUS_V3,0.7619580668088131,0.7176391683433937,0.6590110215969538,0.6555958014400335,0.7669222141267723,0.819424386468903
CS,0.7322316986496091,,0.6559734207994604,,0.7341463133697862,
CS-SCSA_PLUS,0.6190653873489694,0.5243787511393146,0.584315567124085,0.5480764214919144,0.7018846774983699,0.6258424541144618
CS-SCSA_PLUS-SCSA_PLUS_V3,0.7642146410803127,0.6476663904998621,0.6381993703845649,0.5991092631627508,0.7554061264821995,0.6379576914016356
CS-STATE_ART,0.6239398246860933,0.5844064386317908,0.591234068875333,0.5882484900585169,0.7066272891415972,0.7990423449127787
CS-STATE_ART-SCSA_PLUS_V3,0.7584103293058517,0.6818242790073777,0.634408570026863,0.6248736488596482,0.7510680154757173,0.8122721627274306
SC,0.7923979591836735,,0.7611239848667662,,0.8001328215492179,
SC-SCSA_PLUS,0.7742743764172335,0.7014440644153525,0.7045686411297142,0.6942495262945361,0.7949475478876672,0.7092883913220218
SC-SCSA_PLUS-SCSA_PLUS_V3,0.7323526077097505,0.7470319634703196,0.6674492362901527,0.7065143474944519,0.7697094944910923,0.7162890172614815
SC-STATE_ART,0.7857256235827664,0.7361437268971515,0.7075155377980721,0.7001567305004193,0.798427397164704,0.8417898227147408
SC-STATE_ART-SCSA_PLUS_V3,0.7323526077097505,0.7396281800391389,0.6657538194120876,0.7020918345775652,0.7690092165332125,0.8358436806381606
SCSA,0.7352345415778252,,0.6770916749587127,,0.7464239080904757,
SCSA-SCSA_PLUS,0.7487917555081735,0.6719026826069081,0.6565238676326034,0.6590270458731223,0.7579484065880983,0.712035711262145
SCSA-SCSA_PLUS-SCSA_PLUS_V3,0.6658493248045486,0.7151679306608884,0.5825215379579062,0.6318144515239584,0.703828081866269,0.6666276822940773
SCSA-STATE_ART,0.798542999289268,0.7136485580147551,0.6754656155628657,0.6626323660658838,0.776284873051348,0.8404078652123659
SCSA-STATE_ART-SCSA_PLUS_V3,0.6506574271499646,0.7089369550637156,0.5774347673341637,0.6305599181508805,0.6992671230518268,0.8125022682305637
SCSA_PLUS,0.7042857142857143,,0.6318751358991085,,0.7479695076680811,
