mrr,map,ndcg,precision_at_1,precision_at_2,precision_at_3,precision_at_4,precision_at_5,precision_at_10,user_id,algorithm
1.0,0.9095238095238096,0.972664731083356,1.0,1.0,1.0,1.0,1.0,0.7,1,B1
0.3333333333333333,0.41666666666666663,0.5706417189553201,0.0,0.0,0.3333333333333333,0.5,0.4,0.2,3,B1
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,B1
0.2,0.38126984126984126,0.5652064629239767,0.0,0.0,0.0,0.0,0.2,0.5,46,B1
0.125,0.1736111111111111,0.37800210039683896,0.0,0.0,0.0,0.0,0.0,0.2,32,B1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,54,B1
1.0,0.7869614512471655,0.9136388903869314,1.0,1.0,0.6666666666666666,0.5,0.6,0.7,7,B1
1.0,0.49583333333333335,0.7438924904678291,1.0,0.5,0.3333333333333333,0.25,0.2,0.4,44,B1
1.0,0.6925170068027212,0.8513372772927026,1.0,0.5,0.3333333333333333,0.5,0.6,0.7,9,B1
0.25,0.5021825396825397,0.6425958210520417,0.0,0.0,0.0,0.25,0.4,0.6,74,B1
1.0,0.6833333333333333,0.867043684838194,1.0,1.0,0.6666666666666666,0.5,0.4,0.4,57,B1
1.0,0.8333333333333333,0.9197207891481876,1.0,0.5,0.6666666666666666,0.5,0.4,0.2,76,B1
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78,B1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8,B1
1.0,0.8954648526077096,0.9643632283499571,1.0,1.0,1.0,0.75,0.8,0.7,33,B1
1.0,0.9282627865961199,0.9770153702993121,1.0,1.0,1.0,1.0,0.8,0.9,55,B1
1.0,0.7155328798185941,0.858594026354055,1.0,0.5,0.3333333333333333,0.5,0.6,0.7,51,B1
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53,B1
1.0,1.4085097001763667,0.7172591493066162,0.0,0.0,0.3333333333333333,0.25,0.4,0.5,11,B1
0.3333333333333333,0.4809523809523809,0.6475524427682379,0.0,0.0,0.3333333333333333,0.5,0.4,0.5,73,B1
0.3333333333333333,0.5709183673469387,0.7027000139797092,0.0,0.0,0.3333333333333333,0.5,0.6,0.7,27,B1
0.3333333333333333,0.4666666666666666,0.6414921733776295,0.0,0.0,0.3333333333333333,0.5,0.4,0.5,26,B1
0.3333333333333333,0.4083333333333333,0.5981109640835669,0.0,0.0,0.3333333333333333,0.25,0.4,0.4,42,B1
0.25,0.2361111111111111,0.448643819352159,0.0,0.0,0.0,0.25,0.2,0.2,45,B1
0.2,0.30277777777777776,0.4967432029864875,0.0,0.0,0.0,0.0,0.2,0.3,28,B1
0.5,0.7031746031746031,0.798465881758476,0.0,0.5,0.6666666666666666,0.75,0.6,0.8,72,B1
1.0,0.7048611111111112,0.8773497378596238,1.0,1.0,0.6666666666666666,0.5,0.4,0.4,31,B1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,B1
0.3333333333333333,0.5628571428571428,0.6807182344492225,0.0,0.0,0.3333333333333333,0.5,0.6,0.5,30,B1
1.0,0.9129251700680271,0.9731203984025376,1.0,1.0,1.0,1.0,0.8,0.7,29,B1
1.0,1.7546516754850088,0.9897970713338899,1.0,1.0,1.0,1.0,1.0,1.0,36,B1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,23,B1
0.5,0.373015873015873,0.5937751258332797,0.0,0.5,0.3333333333333333,0.25,0.2,0.3,13,B1
1.0,0.8010204081632653,0.906029422444528,1.0,0.5,0.6666666666666666,0.75,0.8,0.7,24,B1
0.14285714285714285,0.2216931216931217,0.43334518829986224,0.0,0.0,0.0,0.0,0.0,0.3,15,B1
0.3333333333333333,0.29166666666666663,0.5,0.0,0.0,0.3333333333333333,0.25,0.2,0.2,16,B1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,70,B1
0.5,0.5771825396825397,0.733810845809999,0.0,0.5,0.6666666666666666,0.5,0.4,0.6,61,B1
0.5,0.7347222222222223,0.8120032421377505,0.0,0.5,0.6666666666666666,0.75,0.8,0.8,17,B1
0.25,0.225,0.44130740935663865,0.0,0.0,0.0,0.25,0.2,0.2,18,B1
0.3333333333333333,0.569047619047619,0.6948159055899312,0.0,0.0,0.3333333333333333,0.5,0.6,0.6,20,B1
1.0,0.6111111111111112,0.7977228895450266,1.0,0.5,0.3333333333333333,0.25,0.2,0.2,66,B1
1.0,1.671582892416226,0.9745644604325985,1.0,1.0,1.0,1.0,1.0,0.9,68,B1
1.0,0.5666666666666667,0.7864724919925569,1.0,0.5,0.3333333333333333,0.25,0.4,0.3,21,B1
1.0,0.5657142857142856,0.7884511027424507,1.0,0.5,0.3333333333333333,0.25,0.4,0.5,50,B1
1.0,0.9571428571428572,0.9878316351280036,1.0,1.0,1.0,1.0,1.0,0.7,71,B1
1.0,0.855952380952381,0.9530418785472459,1.0,1.0,1.0,1.0,0.8,0.7,12,B1
1.0,0.8782627865961199,0.9504206262110482,1.0,1.0,0.6666666666666666,0.75,0.8,0.9,25,B1
1.0,0.5546031746031745,0.7835553654980985,1.0,0.5,0.3333333333333333,0.25,0.4,0.5,40,B1
1.0,0.9626543209876544,0.9895948844467957,1.0,1.0,1.0,1.0,1.0,0.9,22,B1
0.5,0.49999999999999994,0.6719882468370725,0.0,0.5,0.6666666666666666,0.5,0.4,0.3,39,B1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,38,B1
1.0,0.8782627865961199,0.9504206262110482,1.0,1.0,0.6666666666666666,0.75,0.8,0.9,47,B1
0.3333333333333333,0.4444444444444444,0.6198898455343711,0.0,0.0,0.3333333333333333,0.5,0.4,0.4,34,B1
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,B1
0.2,0.28690476190476194,0.3793321067785703,0.0,0.0,0.0,0.0,0.0,0.1,41,B1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,60,B1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,58,B1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,B1
1.0,0.5438888888888889,0.7774950961074903,1.0,0.5,0.3333333333333333,0.25,0.4,0.5,49,B1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,19,B1
1.0,0.762037037037037,0.9102003174374962,1.0,1.0,0.6666666666666666,0.75,0.6,0.6,6,B1
0.5,0.7856701940035273,0.8328978515038055,0.0,0.5,0.6666666666666666,0.75,0.8,0.9,5,B1
1.0,0.9626543209876544,0.9895948844467957,1.0,1.0,1.0,1.0,1.0,0.9,81,B1
0.5,0.5666666666666667,0.7045057227504283,0.0,0.5,0.3333333333333333,0.5,0.6,0.4,79,B1
1.0,0.9282627865961199,0.9770153702993121,1.0,1.0,1.0,1.0,0.8,0.9,2,B1
1.0,0.7260912698412698,0.8631997506525686,1.0,0.5,0.3333333333333333,0.5,0.6,0.8,4,B1
